filepath,filename,class_name,label
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\test_dataset\test\M6\00083.jpg,00083.jpg,M6,4
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M1\00033.jpg,00033.jpg,M1,1
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\01061.jpg,01061.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\02694.jpg,02694.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\test_dataset\test\M4\02046.jpg,02046.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\00468.jpg,00468.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\GuideSign\01204.jpg,01204.jpg,GuideSign,0
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\02680.jpg,02680.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\01868.jpg,01868.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\03233.jpg,03233.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\P10_50\00092.jpg,00092.jpg,P10_50,7
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\P1\00113.jpg,00113.jpg,P1,6
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M7\00174.jpg,00174.jpg,M7,5
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\01062.jpg,01062.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\GuideSign\00455.jpg,00455.jpg,GuideSign,0
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\GuideSign\01007.jpg,01007.jpg,GuideSign,0
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\01776.jpg,01776.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\GuideSign\01186.jpg,01186.jpg,GuideSign,0
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M7\00321.jpg,00321.jpg,M7,5
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\P12\00073.jpg,00073.jpg,P12,8
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\test_dataset\test\M4\03262.jpg,03262.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\02728.jpg,02728.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\01591.jpg,01591.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\01535.jpg,01535.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\00555.jpg,00555.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\P1\00019.jpg,00019.jpg,P1,6
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M7\00193.jpg,00193.jpg,M7,5
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\01836.jpg,01836.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M7\00052.jpg,00052.jpg,M7,5
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\GuideSign\01056.jpg,01056.jpg,GuideSign,0
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\02774.jpg,02774.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\GuideSign\00594.jpg,00594.jpg,GuideSign,0
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\02498.jpg,02498.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M5\00162.jpg,00162.jpg,M5,3
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M7\00104.jpg,00104.jpg,M7,5
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\03128.jpg,03128.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\00164.jpg,00164.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\01924.jpg,01924.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\00476.jpg,00476.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\03368.jpg,03368.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\01995.jpg,01995.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\03034.jpg,03034.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\GuideSign\00634.jpg,00634.jpg,GuideSign,0
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\P1\00189.jpg,00189.jpg,P1,6
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\W1\00140.jpg,00140.jpg,W1,9
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\test_dataset\test\GuideSign\00854.jpg,00854.jpg,GuideSign,0
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\GuideSign\00698.jpg,00698.jpg,GuideSign,0
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M1\00046.jpg,00046.jpg,M1,1
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\GuideSign\01181.jpg,01181.jpg,GuideSign,0
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\GuideSign\00632.jpg,00632.jpg,GuideSign,0
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\GuideSign\00118.jpg,00118.jpg,GuideSign,0
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\GuideSign\01207.jpg,01207.jpg,GuideSign,0
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\02984.jpg,02984.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\GuideSign\00583.jpg,00583.jpg,GuideSign,0
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M5\00025.jpg,00025.jpg,M5,3
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\01473.jpg,01473.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\02640.jpg,02640.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\02301.jpg,02301.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\W1\00074.jpg,00074.jpg,W1,9
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\01136.jpg,01136.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\02176.jpg,02176.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\test_dataset\test\M5\00062.jpg,00062.jpg,M5,3
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M5\00146.jpg,00146.jpg,M5,3
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\00381.jpg,00381.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\03049.jpg,03049.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\00351.jpg,00351.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\GuideSign\00917.jpg,00917.jpg,GuideSign,0
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\03245.jpg,03245.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\GuideSign\00479.jpg,00479.jpg,GuideSign,0
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\01241.jpg,01241.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\03367.jpg,03367.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\01714.jpg,01714.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\GuideSign\00262.jpg,00262.jpg,GuideSign,0
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\P1\00088.jpg,00088.jpg,P1,6
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\test_dataset\test\GuideSign\00546.jpg,00546.jpg,GuideSign,0
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M7\00023.jpg,00023.jpg,M7,5
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\01818.jpg,01818.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\01631.jpg,01631.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\02309.jpg,02309.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\00282.jpg,00282.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\01636.jpg,01636.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M7\00392.jpg,00392.jpg,M7,5
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M1\00152.jpg,00152.jpg,M1,1
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\02878.jpg,02878.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M6\00043.jpg,00043.jpg,M6,4
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\00621.jpg,00621.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\00232.jpg,00232.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\00415.jpg,00415.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\GuideSign\00009.jpg,00009.jpg,GuideSign,0
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M1\00231.jpg,00231.jpg,M1,1
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\03317.jpg,03317.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\test_dataset\test\M7\00161.jpg,00161.jpg,M7,5
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\P10_50\00042.jpg,00042.jpg,P10_50,7
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\02365.jpg,02365.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\test_dataset\test\M5\00178.jpg,00178.jpg,M5,3
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M1\00081.jpg,00081.jpg,M1,1
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\P1\00043.jpg,00043.jpg,P1,6
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\02862.jpg,02862.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\02642.jpg,02642.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\test_dataset\test\M4\02443.jpg,02443.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\P1\00252.jpg,00252.jpg,P1,6
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\00123.jpg,00123.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\P12\00034.jpg,00034.jpg,P12,8
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\W1\00085.jpg,00085.jpg,W1,9
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\02086.jpg,02086.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\00483.jpg,00483.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M7\00469.jpg,00469.jpg,M7,5
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\02843.jpg,02843.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M6\00113.jpg,00113.jpg,M6,4
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\P12\00074.jpg,00074.jpg,P12,8
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\GuideSign\00992.jpg,00992.jpg,GuideSign,0
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\00234.jpg,00234.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\02975.jpg,02975.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\GuideSign\00331.jpg,00331.jpg,GuideSign,0
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M7\00492.jpg,00492.jpg,M7,5
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\02991.jpg,02991.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\00065.jpg,00065.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\01632.jpg,01632.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\GuideSign\00769.jpg,00769.jpg,GuideSign,0
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\02567.jpg,02567.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\02798.jpg,02798.jpg,M4,2
C:\Users\sebas\.cache\kagglehub\datasets\wjybuqi\traffic-sign-classification-and-recognition\versions\1\train_dataset\train\M4\00573.jpg,00573.jpg,M4,2
